words,00s,10s,80s,90s
crumbling,0,0,2,0
crush,0,0,1,0
crushed,0,1,0,0
crushing,0,0,2,0
cry,0,0,3,2
crystal,0,0,1,0
cult,0,0,1,0
curator,0,0,1,0
cure,0,1,1,0
curse,0,1,0,1
curtain,0,0,1,0
cut,0,0,1,0
da,0,0,0,2
daddyo,0,0,0,1
damage,0,0,2,0
damn,0,0,3,0
dance,0,0,1,1
danger,0,0,0,1
dare,0,0,0,1
dark,1,1,2,1
darkening,0,0,1,0
darker,0,0,0,1
darkest,0,0,2,0
darkness,0,2,3,0
dawn,1,0,2,0
day,2,0,8,6
dead,0,1,4,2
deadly,0,0,2,1
deafening,0,0,1,0
deal,0,0,1,0
dealing,0,0,1,0
dear,0,1,1,0
death,0,1,13,1
deathly,0,0,1,0
decadence,0,1,1,0
decay,0,0,2,0
deceiver,0,0,2,0
deceiving,0,1,1,0
deception,0,0,1,0
decides,0,0,1,0
dedicate,0,1,0,1
dedicated,0,0,1,0
deed,0,0,0,1
deem,0,1,0,0
deep,0,0,4,1
defending,0,0,1,0
defying,0,0,1,0
deliver,0,0,0,1
deliverance,0,0,1,0
deliverer,0,0,1,0
deluding,0,0,1,0
delusion,0,1,0,0
dementia,0,0,1,0
demon,0,0,1,1
denies,0,0,0,1
deprive,0,1,0,0
deprived,0,0,0,1
deranged,0,0,1,0
derives,0,0,1,0
deservingly,0,0,0,1
design,0,1,0,0
desire,0,1,1,2
despair,0,0,0,1
desperation,0,1,0,0
destroy,0,1,1,0
destroyer,0,1,1,0
destruction,0,1,1,0
determining,0,0,1,0
deviate,0,1,0,0
devil,0,0,0,1
devotion,0,1,1,0
devour,0,0,1,0
dictator,0,0,1,0
die,0,1,11,3
different,0,0,0,1
dig,0,0,0,1
dignity,0,0,1,0
dim,0,0,0,1
direction,0,0,0,1
dirt,0,0,0,1
dirty,0,0,0,1
disappear,0,1,0,0
disappeared,0,0,1,0
disappears,0,0,1,0
disapprove,0,0,1,0
disarray,0,0,1,0
discrimination,0,0,1,0
disease,0,0,1,0
disfigure,0,0,1,0
disgrace,0,0,1,2
disguise,0,1,0,0
dishonor,0,0,1,0
distant,0,0,0,1
distress,0,0,1,0
distributor,0,0,1,0
divine,0,1,0,0
doer,0,0,1,0
dominating,0,0,1,0
done,0,0,8,3
dont,0,0,0,1
doo,0,0,0,1
doomed,0,1,0,0
door,0,1,5,1
doth,0,0,1,0
double,0,0,0,1
doubt,0,1,1,0
doused,0,1,0,0
downed,0,0,1,0
dozen,0,0,0,1
dragon,0,0,0,1
drain,0,0,1,0
drama,0,1,0,0
draw,0,0,0,1
drawing,0,0,1,0
dream,0,0,5,3
dreaming,1,1,0,0
drift,1,0,1,1
drifting,0,0,1,0
drink,0,0,1,0
drive,0,0,2,0
drunk,0,0,1,1
dub,0,0,0,2
dum,0,0,0,1
dust,0,0,0,2
dwell,0,0,1,0
dy,0,0,1,0
dying,0,1,4,0
ear,0,0,2,0
early,0,0,1,1
earth,0,2,1,2
earthquake,1,0,0,0
east,0,0,0,1
easy,0,0,0,2
echo,0,0,0,1
electric,0,0,1,0
else,0,0,2,1
em,0,1,0,1
emblem,0,0,0,1
emotion,0,1,0,0
emptiness,0,0,1,1
empty,0,0,1,0
end,1,2,7,1
ending,0,1,2,0
endless,0,0,2,0
endurance,0,0,1,0
endure,0,1,1,0
energy,0,0,2,1
engaged,0,0,0,1
engine,0,0,0,2
enter,0,0,0,1
eon,0,0,1,0
era,0,1,0,0
escape,0,0,1,0
eternal,0,0,1,0
eternity,0,1,0,0
even,0,0,1,0
evening,0,0,0,1
ever,0,1,0,1
evermore,0,0,0,1
every,0,0,5,2
everyone,0,0,0,2
everything,0,0,1,0
evil,0,0,1,1
evolution,0,1,1,0
except,0,0,1,0
exception,0,0,1,0
excuse,0,1,1,1
existed,0,0,1,0
exit,0,0,1,1
expectation,0,0,1,0
expiration,0,0,1,0
explode,0,0,1,1
exploding,0,0,1,0
exploiting,0,0,1,0
express,0,0,1,0
exterminate,0,1,0,0
eye,1,1,5,5
face,0,0,4,2
fact,0,0,1,0
fade,0,0,1,1
faded,0,0,0,1
fading,1,1,0,0
fair,0,0,1,1
faith,0,1,1,0
faithfull,0,0,0,1
fall,0,2,2,2
fallen,0,0,1,0
falling,0,1,1,0
fallout,0,0,1,0
fame,0,1,1,2
family,0,0,1,0
famine,0,0,1,0
fang,0,0,0,1
far,0,0,1,1
farrell,0,0,0,1
fast,1,1,1,1
faster,0,0,1,0
fate,0,0,2,0
father,0,0,2,0
fear,1,3,9,1
fearless,0,0,1,0
feast,0,1,0,0
fed,0,0,1,0
feed,0,0,0,1
feeding,0,0,1,0
feel,2,4,7,4
feeling,1,1,2,0
feign,0,1,0,0
felt,0,0,0,2
field,0,0,1,0
fight,0,0,4,1
fighting,0,1,0,0
fill,0,0,3,1
filled,0,1,0,0
filling,0,0,1,0
final,0,0,2,0
finally,0,1,0,0
find,0,0,3,3
finger,0,0,1,2
finished,0,0,1,0
fire,0,1,5,3
fired,0,0,0,1
first,0,0,1,1
fishing,0,0,0,1
fist,0,0,0,1
fistful,0,1,0,0
five,0,0,1,0
fix,0,0,2,0
flame,0,3,1,2
flash,0,0,1,0
flee,0,0,1,0
flesh,1,1,0,0
flick,0,0,1,0
floor,0,0,1,0
flow,0,0,1,0
flurry,0,0,1,0
flush,1,0,0,0
fly,0,0,2,0
flying,0,1,0,0
fog,1,0,0,0
follow,0,0,2,0
following,0,0,1,0
follows,0,0,1,0
foot,0,0,1,0
forbidden,0,0,1,0
fore,0,0,0,1
forever,1,1,0,2
forget,0,0,0,1
forgets,0,0,0,1
forgive,1,0,0,0
forgiveness,0,0,0,1
forgot,0,0,0,1
forked,0,0,0,1
forsake,0,0,1,0
fortune,0,0,0,1
forward,0,0,2,0
found,0,0,1,1
four,1,0,2,0
fourth,0,0,1,0
fowling,0,0,0,1
fragile,0,1,0,0
free,1,0,3,5
freed,0,0,1,0
freedom,0,0,2,0
freight,0,0,0,1
frenzied,0,0,1,0
friend,0,0,4,1
friendly,0,0,1,0
frightening,0,0,1,0
frigid,0,0,1,0
front,0,0,1,0
frozen,0,0,1,0
fuck,1,0,1,1
fucked,0,1,0,0
fuckin,0,0,0,1
fucking,1,0,3,0
fuel,0,0,0,1
fulfilled,0,0,1,0
full,1,0,1,0
fury,0,0,1,0
fuse,0,0,1,0
future,0,2,0,1
gain,0,0,1,1
game,0,0,1,2
gasoline,0,1,0,1
gather,0,0,1,0
gathered,0,0,1,0
gathering,0,0,1,0
gave,0,0,0,1
getting,0,0,3,0
gig,0,0,1,0
girl,0,0,0,1
give,0,0,3,3
giving,0,0,2,0
glamour,0,0,1,0
glory,0,0,2,0
glow,0,0,1,0
go,2,2,4,2
goal,0,0,1,0
god,1,0,3,0
goddess,0,0,0,1
going,0,1,1,1
gold,1,0,0,1
golden,1,0,0,0
gone,1,1,5,5
good,0,1,0,1
goodbye,0,1,3,0
goshen,0,0,1,0
got,1,0,2,1
grain,0,0,1,1
granted,0,0,0,1
grave,0,1,0,2
gray,1,0,0,0
great,0,1,1,0
greed,0,0,0,1
green,0,0,2,0
greeting,0,0,1,0
greets,0,0,1,0
grey,0,0,1,0
grief,0,1,0,0
grim,0,0,1,0
grip,0,0,1,1
gripping,0,0,0,1
ground,1,1,0,0
grow,0,0,0,2
growing,0,0,1,0
grown,0,0,0,1
grudge,0,1,0,0
guarantee,0,2,1,0
guilty,0,0,1,0
gun,0,0,2,0
gut,0,0,1,0
ha,0,0,1,0
habitat,0,0,1,0
haha,0,0,0,1
hail,0,0,1,1
hall,0,0,1,0
halo,0,1,0,0
hammer,0,0,3,0
hammerhead,0,0,1,0
hammett,0,0,0,1
hand,0,0,3,1
hang,1,0,0,0
happening,0,0,1,0
happy,0,0,1,0
hard,1,0,2,2
hardwired,0,1,0,0
harvester,0,0,1,0
hate,0,0,1,2
he,1,0,3,1
head,0,0,2,6
headlight,0,0,0,1
headline,0,0,0,1
heal,0,0,1,0
healthy,1,0,0,0
hear,0,0,4,5
heard,0,0,1,2
hearing,0,0,1,0
hears,0,0,1,0
hearse,0,1,0,0
heart,0,1,0,4
heaven,0,1,1,0
heavy,0,1,0,2
hebrew,0,0,1,0
heed,0,0,1,0
heir,0,0,0,1
hell,1,1,10,0
hello,0,1,0,1
help,0,0,3,2
hero,0,0,1,1
hetfield,0,0,1,1
hey,0,0,0,3
hidden,0,0,2,0
hide,1,0,0,3
hiding,0,0,1,0
high,0,1,0,0
higher,0,1,0,0
highway,0,0,0,1
hill,0,0,1,0
hit,2,2,1,0
hold,0,1,1,3
holding,0,0,1,0
hollywood,0,0,0,1
home,0,0,1,6
honesty,0,0,2,0
honor,0,0,0,1
hoof,0,0,1,0
hope,0,1,0,0
hoping,0,0,1,0
horrid,0,0,1,0
horror,0,0,1,0
horse,0,0,0,1
horseman,0,0,1,0
hot,0,0,2,1
hotel,0,0,1,0
hour,0,0,1,1
huh,1,0,0,0
human,0,0,1,0
humanity,0,0,1,0
humble,0,1,0,0
hundred,0,0,1,1
hunger,0,0,1,0
hungry,0,0,2,0
hunt,0,0,1,0
hunter,0,0,1,0
hurt,0,0,0,2
hush,0,0,0,1
hybrid,0,0,1,0
hypnotize,0,0,1,0
hypnotizing,0,0,1,0
hypocrisy,0,0,1,0
hysteria,0,0,1,0
ice,0,0,0,1
id,0,0,1,0
ill,1,1,3,4
imagination,0,0,1,0
immortal,0,0,1,0
imprisoning,0,0,1,0
impure,0,1,0,0
inbred,0,0,1,0
inc,0,0,1,0
include,0,0,0,1
incorporated,0,0,1,0
independence,0,0,1,0
infamy,0,1,1,0
infanticide,0,0,1,0
infection,0,0,1,0
inhabitant,0,1,0,0
inner,0,0,1,0
innocence,0,1,1,0
innocent,0,0,1,0
inquisition,0,0,1,0
insane,0,1,3,1
insanity,0,0,2,0
insecurity,0,1,0,0
inside,1,1,6,2
inspired,0,0,1,0
instead,0,0,1,0
instinct,0,0,1,0
intoxicating,1,0,0,0
intruding,0,0,1,0
invade,0,0,1,0
ive,1,0,3,3
jackal,0,0,1,0
james,0,0,1,1
jaro,0,0,0,1
join,0,0,1,2
judgment,0,0,1,0
jumped,0,0,0,1
junkie,0,0,0,1
justice,0,0,1,0
keep,1,0,2,2
keeper,0,0,0,1
kerry,0,0,0,1
key,0,0,0,1
kick,0,0,1,0
kill,0,1,9,0
killing,0,0,4,0
king,0,0,0,1
kingdom,0,1,1,0
kirk,0,0,0,1
kiss,0,0,1,0
knee,0,0,2,0
knew,0,0,1,2
knock,0,0,1,0
know,1,1,6,3
knowledge,0,0,0,1
known,0,1,0,2
knuckle,0,0,0,1
la,0,0,0,1
label,0,0,0,1
labeled,0,0,0,1
labelled,0,0,1,0
lady,0,0,1,0
laid,0,0,1,0
lamb,0,0,1,0
land,0,0,1,1
landmine,0,0,1,0
language,0,0,1,0
lars,0,0,1,0
lashing,0,0,1,0
last,0,0,3,3
late,0,0,2,0
later,0,0,0,1
laugh,0,0,1,0
laughing,0,0,2,0
laughter,0,0,1,0
law,0,0,1,0
lay,0,1,1,3
le,0,0,0,1
lead,0,0,1,0
leading,0,0,1,0
leaf,0,0,1,0
learned,0,0,1,0
learns,0,0,0,1
least,0,0,0,1
leather,0,0,2,0
leave,0,0,1,2
left,0,0,4,2
leg,0,0,1,0
lengthen,0,0,1,0
leper,0,0,1,0
let,1,0,4,1
letter,1,0,0,0
liar,0,0,0,1
liberation,0,0,1,0
liberty,0,0,1,1
lie,1,0,8,3
life,1,0,13,6
light,2,3,2,4
lighting,0,1,0,0
lightning,0,0,0,1
like,2,1,4,6
limit,0,0,1,0
limited,0,0,1,0
limousine,0,1,0,0
line,1,0,1,1
link,0,0,0,1
lip,0,0,1,1
listen,0,0,1,2
little,0,0,1,3
live,0,2,6,1
lived,0,0,1,0
living,0,0,7,0
lock,0,0,1,0
locked,0,0,1,1
lonesome,0,0,0,1
long,0,1,1,2
longer,1,0,2,3
longing,0,0,0,1
look,0,0,3,0
looking,0,0,3,0
loose,0,0,1,1
lord,0,0,0,1
loss,0,1,2,0
lost,1,0,2,1
loud,0,0,1,0
love,1,0,0,5
loved,0,0,1,0
luck,0,1,0,0
lullaby,0,0,1,0
lunacy,0,0,1,0
lung,0,0,1,0
lurking,0,0,1,0
lust,0,0,1,0
lying,0,0,1,0
machine,0,1,1,0
machined,0,1,0,0
machinegun,0,0,1,0
mad,0,0,2,0
made,0,0,4,0
madly,1,1,0,0
madness,0,0,2,0
maim,0,0,1,0
make,1,0,8,7
maker,0,1,0,0
mama,0,0,0,2
man,0,1,3,4
maniac,0,0,1,0
mansion,0,0,0,1
many,0,0,1,0
march,0,0,1,0
marianne,0,0,0,1
mark,0,0,0,1
marshall,0,0,1,0
martyr,0,1,0,0
marvel,0,0,1,0
mashing,0,0,1,0
mask,0,0,0,1
masquerade,0,1,0,0
mass,0,1,2,0
massive,0,0,1,0
master,0,1,1,0
matter,0,0,2,2
may,0,1,1,3
maybe,0,0,0,1
maze,0,0,1,0
meaning,0,1,0,0
medallion,1,0,0,0
meet,0,0,1,0
megalomania,0,0,1,0
memory,0,0,0,1
men,0,0,2,1
mend,0,0,1,0
mentally,0,0,1,0
messenger,0,0,1,0
messiah,0,0,1,0
metal,0,0,1,0
metallica,0,0,1,0
midnight,0,1,1,0
might,0,0,1,2
mile,0,0,0,1
million,0,0,1,1
mind,0,0,3,5
mine,0,0,0,1
minute,0,0,2,0
mirror,0,0,2,1
miscall,0,0,1,0
misery,0,0,2,0
missing,0,0,1,0
moaning,0,0,0,1
modern,0,0,1,0
molded,0,0,1,0
molly,0,0,0,1
money,0,0,3,1
monopoly,0,0,1,0
moon,0,0,1,0
moth,0,1,0,0
mother,0,0,2,2
motorway,0,0,1,0
mountain,0,0,0,1
mouth,1,0,0,0
move,0,0,1,0
moving,0,0,2,0
much,1,0,1,2
multiplied,0,0,1,0
murder,0,0,2,0
murderer,0,1,0,0
murdering,0,1,0,0
musha,0,0,0,1
music,0,0,0,1
must,0,0,4,2
mutilation,0,0,1,0
mutiny,0,0,1,0
mystery,0,0,1,0
na,0,0,0,1
nadir,0,0,1,0
name,0,2,3,3
native,0,0,1,0
natural,0,0,1,0
near,0,0,1,0
nearer,0,0,1,0
nears,0,0,1,0
neat,0,0,0,1
neck,1,0,0,1
need,1,0,6,2
needlework,0,0,1,0
negative,0,0,1,0
never,2,1,8,9
neverending,0,0,2,0
neverland,0,0,0,1
nevermore,0,0,1,0
new,1,1,1,4
nice,0,0,0,1
nicotine,0,0,1,0
night,0,0,3,4
nightly,0,0,1,0
nightmare,0,0,1,0
nile,0,0,1,0
nitro,0,0,0,1
noise,0,0,1,1
nomad,0,0,0,1
nonbeliever,0,0,1,0
none,0,0,1,0
noose,1,0,0,0
nothing,0,0,9,4
nothingness,0,0,1,0
novelty,0,0,1,0
now,0,0,2,0
nowhere,1,0,0,1
nuclear,0,0,1,0
numbered,0,0,1,0
obey,0,1,1,0
obscure,0,1,0,0
obscurity,0,0,1,0
obsession,0,0,1,0
occupy,0,0,1,0
offense,0,0,1,0
oh,0,1,3,4
old,0,0,1,2
omaha,0,0,0,1
one,2,1,9,6
onto,0,0,1,0
ooh,0,0,0,3
open,0,2,1,6
opened,0,0,0,1
opposition,0,0,1,0
oppressive,0,0,1,0
ostracized,0,0,1,0
others,0,0,2,0
ounce,0,0,0,1
outcome,0,0,1,0
outgrown,0,0,1,0
outnumbered,0,0,0,1
outside,1,0,0,0
outta,0,1,0,0
overdose,0,1,0,0
overload,0,1,0,0
overpower,0,0,1,0
overthrown,0,1,1,0
owned,0,0,0,1
pacified,0,0,0,1
page,0,0,0,2
pain,1,4,4,2
pained,0,0,0,1
painstaking,0,0,1,0
paint,0,0,0,1
painted,0,0,2,0
pale,0,0,1,0
paper,0,0,1,0
paralyze,0,0,0,1
paranoia,0,1,0,0
part,0,0,2,0
pas,0,0,1,0
passion,0,0,1,0
past,0,1,1,0
path,0,0,0,1
pathway,0,1,0,0
pay,1,0,2,3
peace,0,0,0,1
penetrate,0,0,1,0
penny,0,0,0,1
people,0,0,1,0
perception,0,1,0,0
perfection,0,3,0,0
perjurer,0,1,0,0
permeate,0,1,0,0
pestilence,0,0,1,0
pharaoh,0,0,1,0
piece,0,0,0,1
piercing,0,0,1,0
pillow,0,0,0,1
pistol,0,0,0,1
place,0,1,1,0
plague,0,0,1,0
plan,0,1,1,0
planet,0,1,1,0
planned,0,0,2,0
planting,0,0,1,0
play,0,0,3,4
playing,0,0,0,1
please,0,0,6,2
plug,0,1,0,0
plus,0,0,1,1
point,0,0,1,1
pop,0,1,0,0
population,0,0,1,0
pose,0,1,0,0
possessed,0,0,1,0
post,1,0,3,2
potency,0,0,2,0
pounding,0,0,1,0
pour,0,0,0,1
pours,0,0,0,1
power,0,0,3,0
powerhouse,0,0,1,0
pray,0,0,1,1
prayer,0,1,1,1
praying,1,0,0,0
premonition,0,0,1,0
prepare,0,0,0,1
prepares,0,0,0,1
pretend,0,0,1,1
pretty,0,0,0,1
price,0,0,1,2
pride,0,1,1,2
primadonna,0,0,0,1
prison,1,0,0,1
produced,0,0,0,1
promised,0,0,1,0
properly,0,0,1,0
proudly,0,0,0,1
provoke,0,0,0,1
prying,0,0,1,0
public,0,0,1,0
publicity,0,1,0,0
pull,1,0,0,0
pulled,1,0,1,0
pulling,0,0,2,0
pump,0,0,2,0
pumping,0,0,0,1
puppet,0,0,1,0
pure,0,0,1,0
push,1,0,0,0
pushed,0,0,1,0
put,1,0,4,0
quartet,0,0,1,0
queen,0,1,0,0
quench,0,0,0,1
quick,0,0,0,2
quickest,0,0,0,1
quickly,0,0,0,1
quit,0,0,1,0
race,0,0,1,0
rage,0,0,1,1
raging,0,0,1,0
raise,0,0,1,0
raped,0,0,1,0
rapier,0,0,0,1
rattling,0,0,0,1
raw,0,0,2,0
razorback,0,0,1,0
reaching,0,0,2,0
reaction,0,0,1,0
read,0,0,1,0
real,0,0,4,2
reality,0,0,2,0
realize,0,0,1,0
really,0,0,1,0
reaper,0,1,0,0
reason,0,0,1,0
reasoned,0,0,0,1
rebel,0,0,0,1
rebirth,0,0,1,0
reckoning,0,0,1,0
red,0,0,3,1
redefine,0,0,0,1
refrain,0,0,2,1
regret,1,0,1,1
regretfully,0,0,0,1
reign,0,0,0,1
reinvent,0,1,0,0
rejection,0,2,0,0
relive,1,0,0,0
remains,0,0,1,2
remember,0,0,1,0
remembering,0,0,0,1
remembrance,1,0,0,0
remove,0,1,0,0
repay,0,0,0,1
rescue,0,0,1,0
residence,0,0,0,1
respect,1,0,0,0
rest,0,2,2,0
restaurant,0,0,0,1
restless,0,0,1,0
resurrection,0,1,0,0
return,0,2,0,1
returning,0,1,1,0
reveal,0,0,2,0
revenge,0,0,0,1
reward,0,0,0,1
rhyme,0,0,1,0
ride,0,0,1,0
riding,0,0,1,1
right,0,2,5,3
ring,0,0,2,2
ringing,0,0,0,1
rip,0,0,1,0
ripped,0,0,1,0
ripping,0,0,2,0
rise,0,3,0,0
rising,0,0,1,0
ritual,0,0,1,0
road,0,0,1,2
roam,0,0,0,1
roamer,0,0,0,1
roaming,0,0,1,0
roar,0,0,1,0
roaring,0,0,0,1
rob,0,0,1,0
rocking,0,0,0,1
roll,0,0,1,0
room,0,0,1,0
rotting,0,0,1,0
round,2,0,1,0
rover,0,0,0,1
rub,0,0,1,0
ruin,0,2,1,0
rule,0,0,2,1
run,1,0,3,2
running,0,0,3,1
ruthless,0,0,1,0
sad,0,0,0,1
saddle,0,0,1,0
safely,0,0,1,0
said,0,0,5,5
sail,1,0,0,0
saint,1,1,0,0
salvation,0,0,1,0
sand,0,0,0,1
sandman,0,0,0,1
sanitarium,0,0,1,0
sanity,0,0,1,0
satisfied,0,0,0,2
save,0,2,3,1
savior,0,1,0,0
saw,0,0,0,1
say,0,1,9,6
scale,0,0,1,0
scanning,0,0,1,0
scapegoat,0,0,0,1
scar,0,1,0,0
scarred,0,0,1,1
scarring,0,0,0,1
scene,0,1,1,0
score,0,0,1,1
scream,0,1,4,2
screen,0,0,1,0
sea,1,0,1,0
seal,0,0,1,0
search,0,0,1,0
searched,1,0,0,0
searching,0,0,1,0
season,0,0,1,0
seat,0,0,1,0
secret,0,1,0,0
secretly,0,0,1,0
secure,0,0,0,1
seduce,0,1,0,0
seduced,0,2,0,0
seduction,0,1,0,0
see,1,1,13,6
seed,0,0,1,0
seek,0,0,1,1
seeker,0,0,1,0
seeking,1,0,1,0
seem,0,0,2,2
seems,0,0,3,0
seen,0,0,2,0
seething,0,0,1,0
self,0,0,1,0
selfdestruct,0,1,0,0
selfdestruction,0,0,1,0
selfish,0,0,1,0
send,0,0,2,0
sender,0,1,0,0
sent,0,0,1,1
servant,0,0,1,0
serve,0,0,1,0
served,0,0,1,0
set,2,1,3,2
settle,0,0,0,1
seven,0,0,0,1
severed,0,0,0,1
shadow,1,0,1,0
shake,1,0,0,1
shaking,0,0,0,1
shall,0,3,3,0
shallow,1,0,0,0
shame,0,1,1,0
shamed,0,0,0,1
shape,0,0,0,1
share,0,0,0,1
shattered,0,0,1,0
shed,0,1,0,0
sheep,0,0,1,0
shell,0,0,1,1
shelter,0,0,1,1
shine,1,0,0,0
shined,0,0,0,1
shining,0,0,0,2
ship,1,0,0,0
shit,0,1,0,0
shocked,0,0,1,0
shoot,0,0,1,0
short,0,0,2,0
shortest,0,0,1,0
shot,0,0,0,1
